record_id,title,journal,author,old_doi,retraction_doi,original_paper_doi,doi_for_requesting,...7
9380,"Macroeconomic Crisis, Top Manager's Psychology and the Upgrading of Enterprises: Based on the Theory of TMT",2011 International Conference on E-Business and E-Government (ICEE),Guo Xiao,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5886866,NA
14868,Participation management: The cornerstone of constructing harmonious labor relations for multinational enterprise,2011 International Conference on E-Business and E-Government (ICEE),Minghua Pan,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5886879,NA
11684,Psychological contract violation and workplace deviance: The moderating role of negative reciprocity beliefs,2011 International Conference on E-Business and E-Government (ICEE),Zhen-Yuan Wang,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5881557,NA
9388,Relationship Between Interpersonal Conflict and Counterproductive Work Behavior: The Effects of Negative Affectivity,2011 International Conference on E-Business and E-Government (ICEE),Jianwei Zhang;Chengquan Wang;Yuxin Liu;Que Chen,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5882413,NA
8895,Research on Energy Performance Contracting Based on Consumer Psychology,2011 International Conference on E-Business and E-Government (ICEE),Liao Jia-Li;Liu Min,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5881362,NA
9322,Research on Individual Performance of Team: From the View of Disagreement,2011 International Conference on E-Business and E-Government (ICEE),Anzhou Li,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5882644,NA
9692,Research on Personality Character of Knowledge Worker and Motivate Factors,2011 International Conference on E-Business and E-Government (ICEE),Gu Fan;Su Yong,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5882649,NA
9705,Research on the Influencing Factors for the Urban Residents Low Carbon Energy Consumption Behavior,2011 International Conference on E-Business and E-Government (ICEE),Mi Lingyun;Nie Rui;Li Xiaohua;Li Hualong,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5877071,NA
9093,Research on the relationship between psychological capital and job performance in WISCO,2011 International Conference on E-Business and E-Government (ICEE),Zhang Yan;Zhang Lingli,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5881370,NA
9634,Study on relationship between job satisfaction and extra-role behavior,2011 International Conference on E-Business and E-Government (ICEE),Tao Peng;Miaomiao Yu;Yong Cao;Qiguang Zhu,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5882687,NA
9391,The Dimensions of Consumer Commitment and its Impact on Brand Price Loyalty: Empirical Study of Coffee Chain Store Brands,2011 International Conference on E-Business and E-Government (ICEE),Weil Liang,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5881409,NA
8954,The Influnces of Age Factor on Students' English Learning Strategies in Autonomy Learning,2011 International Conference on E-Business and E-Government (ICEE),Xu Shuyan;Yang Xianhua,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5887216,NA
8703,The Job Interview Characteristics of Our College Students and the Related Analysis,2011 International Conference on E-Business and E-Government (ICEE),Deng Lifang;Xu Wenzhe,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5885339,NA
9216,The Relationship of Network Centrality and Employees' Turnover Intention: The Mediating Role of Job Satisfaction and Group Commitment,2011 International Conference on E-Business and E-Government (ICEE),Ruilin Dai;Zhenyuan Wang,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5882733,NA
8729,The Statement of the Relationship Between the Educational Technology Development and Gagne,2011 International Conference on E-Business and E-Government (ICEE),Chuanhui Zhang;Weiyao Jiang,NA,NA,NA,http://api.openalex.org/works/filter=id.doi:https://doi.org/10.1109/ICEBEG.2011.5887230,NA
