record_id,title,journal,author,doi_for_requesting,original_paper_date
13767,Look into the mind or look at the eyes: A comparison of Chinese and westerners' beliefs of lies,2010 IEEE 2nd Symposium on Web Society,Ning Zhang;Yuqing Zhang;Tingyu Zhang;Kankan Wu,10.1109/SWS.2010.5607394,2010-08-16T00:00:00Z
13020,An Analysis of Herding Behavior under Cognitive Bias Structure - A Stock Market Case Study,2010 International Conference on E-Business and E-Government,Zhu Wenjuan;Tian Jun;Chen Ying,NA,2010-05-07T00:00:00Z
11942,Empirical Research on the Measurement System of Top Management Team Human Capital Value,2010 International Conference on E-Business and E-Government,Chen Yue-Ming;Ge Yu-Hui;Song Zhi-Qiang,NA,2010-05-07T00:00:00Z
12520,Research on the Elder Tourism Market in Shanghai,2010 International Conference on E-Business and E-Government,Tang Wenting;Pan HaiLan;Wu Cuihong,NA,2010-05-07T00:00:00Z
12512,Studies on the Factors of Interaction Quality in Public Service Quality Management,2010 International Conference on E-Business and E-Government,Yang Kun;Hu Jing;Wang Bingjie,NA,2010-05-07T00:00:00Z
12517,Study on the Influence of Job Pressure on Staff's Performance in Service Industry - Taking Emotional Labor and Job Burnout as Intermediaries,2010 International Conference on E-Business and E-Government,Yu Wei;Zhang Yan,NA,2010-05-07T00:00:00Z
12035,The Exploration of Building Enterprise Education Practical Community for Undergraduate Students,2010 International Conference on E-Business and E-Government,Jingyang Wang;Shang Meng;Xiaohong Wang,NA,2010-05-07T00:00:00Z
12275,The Influence of Self-construal and Normative Evaluations on Impulse Buying,2010 International Conference on E-Business and E-Government,Xiong Suhong;Jing Fengjie,NA,2010-05-07T00:00:00Z
13008,The Influence of Work-Family Conflict and Supervisor Support on Job Satisfaction,2010 International Conference on E-Business and E-Government,Lin Qiu,NA,2010-05-07T00:00:00Z
13093,"The Relation Among Job Satisfaction, Stress Level and Self-efficacy of Safety Staff in Coal Mine",2010 International Conference on E-Business and E-Government,Li Jizu;Liu Jiuyuan,NA,2010-05-07T00:00:00Z
12239,Behavioural study on cognition of clothing color based on brightness,2010 6th International Conference on Natural Computation (ICNC),Xiao-Feng Jiang;Guo-Lian Liu;Fang Qin;Shan-Shan Wang,NA,2010-08-10T00:00:00Z
12317,Learning through organizational citizenship behavior,2010 6th International Conference on Natural Computation (ICNC),Jin-Zhao Deng,NA,2010-08-10T00:00:00Z
14081,Action Mechanism of Knowledge Conflict on Team Innovation,2010 International Conference on Management and Service Science,Xudong Ni;Ruoyang Gao,NA,2010-08-24T00:00:00Z
14062,How Service Climate Impacts on Service Performance: Evidence from China Hotel Industry,2010 International Conference on Management and Service Science,Wenli Li;Yagang Lu,NA,2010-08-24T00:00:00Z
14186,Influences on Unrealistic Optimism in Risk Perception and It's Developmental Mechanism,2010 International Conference on Management and Service Science,Xiaoping Liu;Hong Xie,NA,2010-08-24T00:00:00Z
14131,Study on Escalation Factors of Conversion from Task Conflict to Relationship Conflict,2010 International Conference on Management and Service Science,Xudong Ni;Ruoyang Gao,NA,2010-08-24T00:00:00Z
14105,The Effects of Internal Marketing on Service Branding,2010 International Conference on Management and Service Science,Ye Chen;Jing Zhao,NA,2010-08-24T00:00:00Z
14065,The Effects of Subordinate-Supervisor Conscientiousness Fit on Organizational Commitment and Career Satisfaction,2010 International Conference on Management and Service Science,Xiaoping Liu;Jinfei Zhou,NA,2010-08-24T00:00:00Z
13615,Research Review on the Purchase Psychologies and Behaviors of the â€œThree Highâ€ Sports Lottery Consumers,2010 The 2nd Conference on Environmental Science and Information Application Technology,Yang Liu;Wang Bin,NA,2010-07-17T00:00:00Z
11699,Design and Development of Athlete Information Management System,2010 3rd International Conference on Computer Science and Information Technology,He Xiuzhen,NA,2010-07-09T00:00:00Z
11585,From Disorder Applause to Emerging Rhythmic Clapping,2010 3rd International Conference on Computer Science and Information Technology,Kun Liu,NA,2010-07-09T00:00:00Z
11530,Fully Play the Advantages of Educational Technology to Support Individualized Education for Hearing-impaired Students,2010 3rd International Conference on Computer Science and Information Technology,Wu Xiao Fen;Xu Jia Cheng,NA,2010-07-09T00:00:00Z
11708,Study on the Key Factors of Innovation Management in Service Enterprise,2010 3rd International Conference on Computer Science and Information Technology,Ni Huijun;Yu Wei,NA,2010-07-09T00:00:00Z
11907,The Impact of Administration Services Center Staff's Emotional Labor on the Performance,2010 3rd International Conference on Computer Science and Information Technology,Yu Wei,NA,2010-07-09T00:00:00Z
14732,A Study on Factors Influencing Knowledge-sharing Activity for the Innovation Activity of Team,2010 IEEE International Conference on Advanced Management Science (ICAMS 2010),Jungwoo Lee;Jeongeun Kim;Yoengjong Han,NA,2010-07-09T00:00:00Z
14516,Application Research for Undergraduate Education Evaluation Method Based on SVM,2010 IEEE International Conference on Advanced Management Science (ICAMS 2010),Yandong Guo;Kai Yang,NA,2010-07-09T00:00:00Z
14234,Assessing Two Emotion Regulation Processes in Chinese Adolescents,2010 IEEE International Conference on Advanced Management Science (ICAMS 2010),Zhibin Chen,NA,2010-07-09T00:00:00Z
14702,"Board independence, executive overconfidence and financial leverage",2010 IEEE International Conference on Advanced Management Science (ICAMS 2010),Yan Yong-hai;Kong Yu-sheng,10.1109/ICAMS.2010.5553222,2010-07-09T00:00:00Z
